
# ;[];[];[seb europafond småbolag][seb eur småbolag][seb europa småbolag][seb europa småbolagsfond][seb europeiska småbolagsfo][seb europeiska småbolagsfond];[];[];[];[];[];[];[];[];[];[];[];[seb östeuropafond små och medelstora bolag c][seb östeuropafond små och medelstora bolag ex ryssland c];[];[];
# ;seb dynamic bond fund c;seb dynamisk aktiefond;seb europafond småbolag;seb europe equity fund;seb global aktiefond;seb global high yield fund c;seb green bond fund c;seb läkemedelsfond;seb nordamerikafond små och medelstora bolag a;seb nordenfond;seb pension fund c;seb realräntefond d;seb sverige expanderad;seb sweden equity fund c;seb östeuropafond små och medelstora bolag c;seligson & co euroobligation a;seligson & co global top 25 brands a;
2023-01-16;-0,069;;-0,043;;;;-0,039;;;-0,101;;0,005;-0,081;-0,080;-0,204;-0,006;-0,042;
2023-01-17;-0,069;-0,116;-0,041;;-0,121;-0,056;-0,038;-0,005;-0,043;-0,103;-0,084;0,004;-0,084;-0,083;-0,205;-0,005;-0,042;
2023-01-18;-0,068;-0,120;-0,038;;-0,125;-0,054;-0,037;-0,008;-0,048;-0,101;-0,087;0,007;-0,078;-0,077;-0,208;-0,003;-0,045;
2023-01-19;-0,068;-0,127;-0,047;;-0,133;-0,056;-0,037;-0,014;-0,056;-0,107;-0,089;0,005;-0,087;-0,087;-0,215;-0,005;-0,054;
2023-01-20;-0,068;-0,126;-0,046;;-0,132;-0,056;-0,038;-0,013;-0,054;-0,106;-0,087;0,004;-0,089;-0,090;-0,211;-0,006;-0,055;
2023-01-23;-0,068;-0,123;-0,044;;-0,129;-0,056;-0,038;-0,013;-0,048;-0,103;-0,086;0,003;-0,083;-0,083;-0,208;-0,009;-0,051;
2023-01-24;-0,068;-0,123;-0,044;;-0,128;-0,056;-0,037;-0,014;-0,046;-0,103;-0,086;0,003;-0,084;-0,083;-0,210;-0,011;-0,050;
2023-01-25;-0,067;-0,125;-0,052;;-0,130;;;-0,017;-0,053;-0,106;;0,004;-0,088;-0,087;;-0,007;-0,049;
2023-01-26;;;;;;-0,055;-0,037;;;;-0,083;;;;-0,210;;;
2023-01-27;-0,067;-0,111;-0,046;;-0,116;-0,055;-0,037;-0,012;-0,042;-0,102;-0,081;0,002;-0,088;-0,087;-0,208;-0,010;-0,043;
2023-01-30;-0,067;-0,110;-0,045;;-0,114;-0,056;-0,038;-0,010;-0,039;-0,099;-0,083;0,002;-0,087;-0,086;-0,210;-0,010;-0,041;
2023-01-31;-0,066;-0,107;-0,046;;-0,111;-0,056;-0,038;-0,011;-0,034;-0,102;-0,079;0,003;-0,090;-0,089;-0,205;-0,008;-0,038;
2023-02-01;-0,066;-0,103;-0,039;;-0,108;-0,054;-0,037;-0,009;-0,024;-0,097;-0,077;0,004;-0,084;-0,083;-0,204;-0,005;-0,034;
2023-02-02;-0,064;-0,099;-0,031;;-0,103;;;-0,012;-0,017;-0,092;;0,008;-0,071;-0,069;;-0,003;-0,032;
2023-02-03;;;;;;-0,051;-0,035;;;;-0,072;;;;-0,197;;;
2023-02-06;-0,064;-0,096;-0,029;;-0,099;-0,053;-0,036;-0,004;-0,015;-0,092;-0,073;0,005;-0,073;-0,072;-0,198;-0,001;-0,021;
