
# ;[];[];[seb europafond småbolag][seb eur småbolag][seb europa småbolag][seb europa småbolagsfond][seb europeiska småbolagsfo][seb europeiska småbolagsfond];[];[];[];[];[];[];[];[];[];[];[];[seb östeuropafond små och medelstora bolag c][seb östeuropafond små och medelstora bolag ex ryssland c];[];[];
# ;seb dynamic bond fund c;seb dynamisk aktiefond;seb europafond småbolag;seb europe equity fund;seb global aktiefond;seb global high yield fund c;seb green bond fund c;seb läkemedelsfond;seb nordamerikafond små och medelstora bolag a;seb nordenfond;seb pension fund c;seb realräntefond d;seb sverige expanderad;seb sweden equity fund c;seb östeuropafond små och medelstora bolag c;seligson & co euroobligation a;seligson & co global top 25 brands a;
2024-10-29;-0,007;0,035;0,009;-0,001;0,037;-0,008;-0,006;0,086;0,074;0,000;0,009;0,004;0,009;0,008;-0,054;0,025;0,038;
2024-10-30;-0,007;0,034;0,007;-0,006;0,038;-0,008;-0,007;0,083;0,078;-0,004;0,008;0,004;0,004;0,003;-0,059;0,024;0,034;
2024-10-31;-0,008;0,029;0,002;-0,010;0,032;-0,009;-0,007;0,079;0,072;-0,008;0,005;0,003;-0,003;-0,004;-0,058;0,025;0,036;
2024-11-01;;0,032;0,005;;0,034;;;0,082;0,074;-0,004;;;-0,001;;;0,026;0,032;
2024-11-04;-0,008;;0,005;;0,034;;;0,080;0,075;-0,003;;0,003;0,002;0,001;;0,027;0,035;
2024-11-05;;0,037;;-0,005;;-0,009;-0,008;;;;0,008;;;;-0,056;;;
2024-11-06;-0,008;0,046;0,004;-0,006;0,047;-0,008;-0,007;0,085;0,100;-0,004;0,012;0,002;0,000;-0,001;-0,048;0,028;0,042;
2024-11-07;-0,008;;0,006;;0,045;-0,008;;0,080;0,096;0,000;;0,002;0,006;0,005;-0,042;0,025;0,038;
2024-11-08;;0,048;;-0,010;;;-0,006;;;;0,015;;;;;;;
2024-11-11;-0,007;;0,014;;0,050;;;0,098;0,110;-0,001;;0,004;0,005;0,003;;0,028;0,041;
2024-11-12;;0,046;;-0,014;;-0,007;;;;;0,015;;;;-0,046;;;
2024-11-13;-0,007;0,046;0,004;-0,015;0,050;-0,007;;0,092;0,110;-0,014;0,015;0,004;-0,011;-0,012;-0,047;0,026;0,039;
2024-11-14;-0,007;;0,007;;0,051;;;0,088;0,106;-0,009;;0,004;-0,005;-0,007;;0,027;0,042;
2024-11-15;;0,040;;-0,013;;-0,008;;;;;0,012;;;;-0,047;;;
2024-11-18;-0,007;0,041;-0,005;-0,014;0,042;-0,008;-0,006;0,069;0,094;-0,016;0,011;0,004;-0,015;-0,017;-0,049;0,027;0,041;
2024-11-19;-0,007;0,042;-0,007;-0,016;0,042;-0,008;-0,006;0,068;0,092;-0,020;0,012;0,004;-0,020;-0,022;-0,058;0,028;0,039;
2024-11-20;-0,007;0,047;-0,005;-0,016;0,048;-0,008;-0,006;0,076;0,098;-0,017;0,014;0,004;-0,018;-0,020;-0,058;0,027;0,040;
2024-11-21;-0,007;0,049;-0,006;-0,014;0,050;-0,008;-0,006;0,077;0,102;-0,018;0,014;0,005;-0,019;-0,021;-0,051;0,029;0,041;
2024-11-22;-0,007;0,052;0,005;-0,007;0,058;-0,007;-0,006;0,085;0,112;-0,014;0,016;0,005;-0,012;-0,014;-0,046;0,031;0,045;
2024-11-25;-0,006;0,053;0,005;-0,007;0,057;-0,006;-0,005;0,083;0,116;-0,015;0,017;0,007;-0,012;-0,014;-0,046;0,030;0,048;
2024-11-26;-0,005;0,054;0,004;-0,012;0,058;-0,006;-0,005;0,084;0,114;-0,017;0,017;0,007;-0,014;-0,016;-0,046;0,030;0,047;
2024-11-27;-0,005;0,049;0,005;;0,056;-0,006;;0,087;0,114;-0,018;0,016;0,008;-0,015;-0,017;;0,030;0,048;
2024-11-28;;;;-0,010;;;-0,004;;;;;;;;-0,049;;;
2024-11-29;-0,004;0,051;0,006;-0,009;0,057;-0,006;-0,004;0,087;0,112;-0,016;0,017;0,008;-0,013;-0,014;-0,049;0,032;0,046;
2024-12-02;-0,004;0,058;0,010;-0,006;0,062;-0,005;-0,003;0,091;0,115;-0,009;0,021;0,009;-0,005;-0,006;-0,041;0,034;0,051;
2024-12-03;-0,004;0,060;0,012;-0,003;0,065;-0,005;-0,003;0,091;0,114;-0,004;0,021;0,009;-0,001;-0,003;-0,039;0,035;0,055;
2024-12-04;-0,005;0,059;0,016;0,000;0,065;-0,004;-0,003;0,091;0,116;-0,000;0,022;0,007;0,003;0,002;-0,034;0,035;0,055;
2024-12-05;-0,005;0,056;0,011;-0,002;0,062;-0,004;-0,003;0,086;0,111;0,000;0,020;0,006;0,004;0,002;-0,031;0,033;0,052;
2024-12-06;-0,004;;0,013;;0,064;;;0,085;0,109;0,001;;0,006;0,006;0,005;;;;
2024-12-09;;0,055;;0,001;;-0,003;-0,003;;;;0,021;;;;-0,027;;;
2024-12-10;-0,005;0,056;0,014;-0,002;0,063;-0,003;-0,003;0,084;0,104;0,003;0,021;0,006;0,006;0,005;-0,026;0,035;0,057;
2024-12-11;-0,004;;0,018;;0,063;;;0,081;0,109;-0,000;;0,006;0,004;0,003;;0,034;0,060;
2024-12-12;;0,056;;-0,004;;-0,003;-0,004;;;;0,021;;;;-0,028;;;
2024-12-13;-0,006;0,053;0,014;-0,007;0,061;-0,004;-0,004;0,075;0,106;-0,004;0,020;0,004;-0,001;-0,002;-0,027;0,030;0,063;
2024-12-16;-0,006;0,050;0,010;-0,007;0,057;-0,004;-0,004;0,077;0,103;-0,009;0,018;0,004;-0,004;-0,005;-0,030;0,030;0,059;
2024-12-17;-0,006;0,050;0,008;-0,012;0,056;-0,004;-0,004;0,074;0,103;-0,011;0,018;0,004;-0,006;-0,007;-0,038;0,027;0,059;
2024-12-18;-0,006;0,042;0,010;-0,010;0,057;-0,005;-0,004;0,074;0,101;-0,011;0,015;0,004;-0,005;-0,006;-0,037;0,028;0,060;
2024-12-19;-0,007;0,041;0,002;-0,016;0,048;-0,007;-0,005;0,064;0,090;-0,019;0,012;0,002;-0,015;-0,016;-0,037;0,027;0,056;
2024-12-20;-0,007;;0,000;;0,044;;;0,063;0,088;-0,031;;0,002;-0,022;-0,023;;0,026;0,052;
2025-02-06;;;;;;;;;;;;;;;;;;
2025-02-18;;0,045;;0,009;;-0,001;-0,003;;;;0,021;;;;0,004;;;
2025-02-19;-0,004;0,046;0,021;0,005;0,053;-0,001;-0,003;0,072;0,074;0,023;0,020;-0,001;0,031;0,030;-0,002;0,012;0,058;
2025-02-20;-0,003;0,041;0,021;0,005;0,050;-0,001;-0,003;0,074;0,068;0,024;0,018;-0,001;0,033;0,033;-0,006;0,011;0,058;
2025-02-21;-0,003;0,036;0,018;0,007;0,049;-0,001;-0,002;0,071;0,062;0,024;0,016;0,000;0,031;0,030;-0,008;0,012;0,057;
2025-02-24;-0,003;;0,016;;0,045;;;0,075;0,053;0,025;;-0,000;0,029;0,028;;0,011;0,057;
2025-02-25;;0,033;;0,007;;-0,001;-0,002;;;;0,014;;;;-0,014;;;
2025-02-26;-0,002;0,034;0,016;0,009;0,043;-0,000;-0,002;0,075;0,062;0,032;0,015;0,001;0,034;0,033;-0,009;0,014;0,062;
2025-02-27;-0,001;0,032;0,013;0,008;0,043;-0,000;-0,001;0,080;0,060;0,029;0,014;0,001;0,029;0,028;-0,010;0,014;0,059;
2025-02-28;-0,001;0,033;0,010;0,008;0,037;-0,000;-0,001;0,076;0,054;0,027;0,015;0,001;0,027;0,027;-0,011;0,016;0,058;
2025-03-03;-0,001;0,022;0,011;0,010;0,038;-0,000;-0,001;0,077;0,054;0,032;0,011;0,000;0,032;0,031;-0,010;0,012;0,061;
2025-03-04;-0,001;0,016;-0,000;-0,001;0,025;-0,001;-0,001;0,071;0,032;0,016;0,007;0,001;0,016;0,015;-0,024;0,010;0,054;
2025-03-05;-0,002;0,010;-0,001;0,002;0,014;-0,001;-0,003;0,061;0,026;0,022;0,004;-0,002;0,022;0,022;-0,013;0,003;0,045;
2025-03-06;-0,003;;-0,001;;0,009;;;0,054;0,019;0,024;;-0,004;0,021;0,021;;-0,005;0,039;
2025-03-10;;-0,005;;-0,011;;-0,003;-0,003;;;;-0,003;;;;-0,021;;;
2025-03-11;-0,003;;-0,015;;-0,007;;;0,032;0,003;0,007;;-0,003;0,006;0,006;;-0,006;0,033;
2025-03-12;;-0,012;;-0,019;;-0,004;-0,004;;;;-0,007;;;;-0,014;;;
2025-03-13;-0,003;;-0,014;;-0,003;;;0,039;0,005;0,007;;-0,003;0,008;0,007;;-0,002;0,023;
2025-03-14;;-0,006;;-0,010;;-0,005;-0,004;;;;-0,004;;;;0,004;;;
2025-03-17;-0,003;;-0,007;;-0,001;;;0,042;0,010;0,015;;-0,001;0,016;0,015;;-0,002;0,018;
2025-03-18;;-0,008;;-0,006;;-0,004;-0,003;;;;-0,004;;;;0,005;;;
2025-03-19;-0,003;-0,003;-0,005;-0,004;-0,001;-0,003;-0,003;0,044;0,014;0,015;-0,001;-0,002;0,016;0,015;-0,005;-0,000;0,017;
2025-03-20;-0,003;-0,004;-0,005;-0,005;0,004;-0,003;-0,003;0,049;0,016;0,012;-0,002;-0,002;0,014;0,013;-0,009;0,000;0,020;
2025-03-21;-0,003;-0,006;-0,011;-0,008;-0,002;-0,003;-0,003;0,043;0,007;0,006;-0,003;-0,002;0,008;0,007;-0,019;-0,001;0,017;
2025-03-24;-0,003;-0,001;-0,010;-0,010;0,005;-0,002;-0,003;0,047;0,019;0,007;-0,002;-0,002;0,010;0,009;-0,012;-0,002;0,014;
2025-03-25;-0,003;-0,004;-0,013;-0,011;0,001;-0,003;-0,003;0,041;0,013;0,005;-0,003;-0,002;0,007;0,007;-0,008;-0,007;0,014;
2025-03-26;-0,003;-0,008;-0,016;-0,015;0,000;-0,003;-0,003;0,036;0,013;0,004;-0,005;-0,002;0,006;0,006;-0,011;-0,007;0,011;
2025-03-27;-0,002;-0,010;-0,020;-0,017;-0,001;-0,004;-0,003;0,034;0,010;-0,001;-0,006;-0,001;0,003;0,002;-0,012;-0,007;0,011;
2025-03-28;-0,002;-0,017;-0,025;-0,021;-0,010;-0,005;-0,002;0,029;-0,004;-0,008;-0,009;-0,001;-0,004;-0,005;-0,018;-0,006;0,012;
2025-03-31;-0,002;-0,017;-0,029;-0,027;-0,016;-0,005;-0,003;0,026;-0,009;-0,015;-0,010;0,000;-0,011;-0,012;-0,026;-0,005;0,004;
2025-04-01;-0,001;-0,016;-0,024;-0,023;-0,012;-0,004;-0,002;0,027;-0,005;-0,014;-0,009;0,000;-0,008;-0,009;-0,020;-0,004;0,007;
2025-04-02;-0,002;-0,017;-0,030;-0,026;-0,015;-0,004;-0,002;0,018;-0,005;-0,022;-0,010;0,000;-0,016;-0,017;-0,020;-0,005;0,007;
2025-04-03;-0,002;-0,041;-0,034;-0,042;-0,034;-0,006;-0,002;0,013;-0,028;-0,033;-0,019;0,001;-0,025;-0,025;-0,041;-0,009;-0,006;
2025-04-04;-0,001;-0,048;-0,050;-0,055;-0,041;-0,010;-0,002;0,010;-0,042;-0,053;-0,024;0,002;-0,046;-0,047;-0,057;0,003;-0,006;
2025-04-07;-0,002;-0,060;-0,062;-0,074;-0,058;-0,014;-0,003;-0,010;-0,050;-0,067;-0,033;0,004;-0,062;-0,062;-0,068;0,002;-0,035;
2025-04-08;-0,003;-0,063;-0,053;-0,061;-0,040;-0,014;-0,002;0,007;-0,036;-0,059;-0,032;0,002;-0,057;-0,058;-0,048;0,001;-0,030;
2025-04-09;-0,003;-0,038;-0,066;-0,074;-0,057;-0,013;-0,003;-0,016;-0,058;-0,076;-0,027;0,004;-0,073;-0,073;-0,058;0,004;-0,035;
2025-04-10;-0,003;-0,049;-0,050;-0,062;-0,039;-0,013;-0,002;-0,004;-0,039;-0,060;-0,028;0,003;-0,053;-0,052;-0,045;0,001;-0,017;
2025-04-11;-0,004;-0,039;-0,050;-0,055;-0,041;-0,013;-0,003;-0,009;-0,045;-0,060;-0,024;0,005;-0,055;-0,056;-0,043;0,010;-0,023;
2025-04-14;-0,003;-0,043;-0,042;-0,045;-0,034;-0,011;-0,002;-0,003;-0,035;-0,051;-0,023;0,005;-0,046;-0,046;-0,034;0,008;-0,020;
2025-04-15;-0,003;-0,036;-0,029;-0,037;-0,028;-0,009;-0,002;0,004;-0,028;-0,041;-0,019;0,004;-0,035;-0,035;-0,029;0,008;-0,018;
2025-04-16;-0,003;-0,044;-0,031;-0,033;-0,036;-0,009;-0,001;-0,003;-0,036;-0,047;-0,022;0,004;-0,042;-0,042;-0,025;0,015;-0,018;
2025-04-17;;-0,049;-0,034;-0,036;-0,042;-0,008;-0,001;-0,007;-0,044;-0,048;-0,025;;-0,042;;-0,025;0,010;-0,023;
2025-04-22;-0,002;-0,053;-0,040;-0,039;-0,052;-0,008;-0,000;-0,017;-0,052;-0,053;-0,026;0,005;-0,045;-0,045;-0,027;0,008;-0,031;
2025-04-23;-0,002;;-0,026;;-0,033;;;0,000;-0,025;-0,039;;0,004;-0,030;-0,030;;0,004;-0,020;
2025-04-24;;;;;;;;;;;;;;;;;;
2025-04-25;;;;;;;;;;;;;;;;;;
2025-04-28;;-0,033;;-0,026;;-0,004;-0,000;;;;-0,015;;;;-0,013;;;
2025-04-29;0,000;-0,029;-0,021;-0,026;-0,028;-0,004;0,000;0,008;-0,029;-0,030;-0,014;0,004;-0,027;-0,027;-0,014;0,006;-0,015;
2025-04-30;;-0,027;-0,016;-0,022;-0,029;-0,004;0,000;0,013;-0,034;-0,024;-0,012;;-0,019;;-0,021;0,007;-0,014;
2025-05-02;-0,000;-0,021;-0,008;-0,013;-0,018;-0,003;-0,000;0,014;-0,018;-0,017;-0,010;0,003;-0,015;-0,015;-0,011;0,008;-0,013;
2025-05-05;-0,000;;-0,006;;-0,017;;;0,014;-0,015;-0,017;;0,003;-0,014;-0,014;;0,005;-0,012;
2025-05-06;;-0,025;;-0,015;;-0,003;-0,000;;;;-0,011;;;;-0,019;;;
2025-05-07;0,000;-0,022;-0,009;-0,019;-0,018;-0,003;0,000;0,005;-0,020;-0,020;-0,010;0,003;-0,017;-0,017;-0,016;0,004;-0,017;
2025-05-08;0,000;-0,018;-0,007;-0,017;-0,017;-0,003;-0,000;-0,002;-0,012;-0,019;-0,009;0,003;-0,013;-0,013;-0,012;0,006;-0,014;
2025-05-09;;-0,018;-0,001;;-0,013;;;0,002;-0,004;-0,016;;;-0,011;;;0,003;-0,011;
2025-05-12;-0,001;-0,004;0,002;-0,011;-0,002;-0,000;-0,001;0,004;0,015;-0,005;-0,003;0,000;0,001;0,001;0,004;0,002;-0,003;
2025-05-13;-0,001;-0,003;0,002;-0,013;0,001;0,000;-0,001;0,002;0,015;-0,003;-0,003;0,000;0,003;0,004;0,004;-0,001;0,001;
2025-05-14;-0,001;-0,003;0,002;-0,012;0,001;-0,000;-0,001;-0,003;0,009;-0,004;-0,002;0,000;0,001;0,002;0,004;-0,001;-0,002;
2025-05-15;-0,001;-0,000;0,001;-0,007;0,002;-0,000;-0,000;-0,010;0,007;-0,002;-0,001;0,000;0,004;0,005;0,003;0,001;-0,000;
2025-05-16;0,000;0,004;0,005;-0,005;0,007;0,000;-0,000;0,002;0,014;-0,002;0,001;0,002;0,002;0,003;0,002;0,003;0,003;
2025-05-19;0,000;0,001;0,003;-0,003;0,004;-0,000;0,000;0,003;0,010;-0,001;0,000;0,001;0,001;0,002;;0,002;0,003;
2025-05-20;0,000;0,000;0,003;0,000;0,006;0,000;0,000;0,008;0,010;0,004;0,000;0,001;0,004;0,004;0,000;0,003;0,001;
2025-05-21;0,000;;0,000;;0,000;;;0,000;0,000;0,000;;0,000;0,000;0,000;;0,000;0,000;
